,title,urlToImage
0,COVID symptoms: How do we get sick from COVID? - Deseret News,https://deseret.brightspotcdn.com/dims4/default/65bee02/2147483647/strip/true/crop/3000x1713+0+144/resize/1461x834!/quality/90/?url=https%3A%2F%2Fcdn.vox-cdn.com%2Fthumbor%2F06e9w9v2ILfWjUrr5WOmuDPFrL8%3D%2F0x0%3A3000x2000%2F3000x2000%2Ffilters%3Afocal%281500x1000%3A1501x1001%29%2Fcdn.vox-cdn.com%2Fuploads%2Fchorus_asset%2Ffile%2F23129158%2Fcovidspread.jpg
1,"In the Ocean, It’s Snowing Microplastics - The New York Times",https://static01.nyt.com/images/2022/04/05/science/02SCI-PLASTISPHERE-promo/02SCI-PLASTISPHERE-promo-facebookJumbo.jpg
2,Why You Don't Need to Feel Sore After a Workout to Know if You've Exercised Enough - ScienceAlert,https://www.sciencealert.com/images/2022-04/processed/PersonDeadLiftsWeights_1024.jpg
3,"CDC confirms risk of heart issues after COVID-19 infection, 2nd vax dose - WJW FOX 8 News Cleveland",https://fox8.com/wp-content/uploads/sites/12/2022/04/GettyImages-1362947872-1.jpg?w=1280
4,6 probiotic foods to support your gut - Livescience.com,https://cdn.mos.cms.futurecdn.net/kv56vQMZWFmAVvSuezg9dk-1200-80.jpg
5,Artificial sweeteners associated with cancer risk in large new study - Medical News Today,https://post.medicalnewstoday.com/wp-content/uploads/sites/3/2022/04/artificial_sweetener_cancer_study_732x549_thumb.jpg
6,These are the 4 major warning signs of a weak immune system—and what you can do about it: Immunologist - CNBC,https://image.cnbcfm.com/api/v1/image/107040538-1648833116721-gettyimages-1329701927-1019255910.jpeg?v=1648833189&w=1920&h=1080
7,"Signs You Have Alzheimer's Disease, According to Experts — Eat This Not That - Eat This, Not That",https://www.eatthis.com/wp-content/uploads/sites/4/2022/01/My-project-2022-01-27T160430.954.jpg?quality=82&strip=all
8,Sleeping pill dangers and how to avoid them - CNN,https://cdn.cnn.com/cnnnext/dam/assets/210311152013-melatonin-pills-stock-super-tease.jpg
9,"Reduction of dietary sodium to less than 100 mmol in heart failure (SODIUM-HF): an international, open-label, randomised, controlled trial - The Lancet",//els-jbs-prod-cdn.jbs.elsevierhealth.com/cms/asset/89eb4f44-31a5-412a-935a-5b76f007fcb0/gr1.jpg
10,Treatment for Mild Chronic Hypertension during Pregnancy | NEJM - nejm.org,https://www.nejm.org/na101/home/literatum/publisher/mms/journals/content/nejm/0/nejm.ahead-of-print/nejmoa2201295/20220401/images/img_small/nejmoa2201295_f1.jpeg
11,Tranexamic Acid in Patients Undergoing Noncardiac Surgery | NEJM - nejm.org,https://www.nejm.org/na101/home/literatum/publisher/mms/journals/content/nejm/0/nejm.ahead-of-print/nejmoa2201171/20220331/images/img_small/nejmoa2201171_f1.jpeg
12,Cuts in Britain Could Cause a Covid Data Drought - The New York Times,https://static01.nyt.com/images/2022/04/01/science/01-virus-testing1/01-virus-testing1-facebookJumbo.jpg
13,"Seizures, croup, and mechanical ventilation: New study shows how severe Omicron can get in unvaccinated children - Yahoo Finance",https://s.yimg.com/ny/api/res/1.2/fX08eHq5LzNbzFAhoMtk_w--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD04MDg-/https://s.yimg.com/uu/api/res/1.2/ZTV8yNSQmsF3eZI2rkcpbQ--~B/aD00MDAwO3c9NTk0NDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/fortune_175/c1a0df379c9aa962249b4755d039ca16
14,What to Know About the Bird Flu Outbreak - The New York Times,https://static01.nyt.com/images/2022/03/31/us/00xp-birdflu-explainer1/merlin_204447219_5157793b-8111-4bae-a782-9c5f8315ced5-facebookJumbo.jpg
15,Deer tick virus in Pennsylvania: What you need to know - The Morning Call,https://www.mcall.com/resizer/eCP6t1td5r3P2tq5g_XkApGM39c=/1200x0/top/cloudfront-us-east-1.images.arcpublishing.com/tronc/NUMEKMSJGRFDFJPJ3KTOE4Q5EQ.jpg
16,The Worst U.S. Cities to Live in for People With Seasonal Allergies - Lifehacker,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/ceab7b3755c7ce114a9df11485ef6b07.jpg"
17,"Tell-tale physical traits of a heavy alcohol drinker, per experts - Insider",https://i.insider.com/624602ee2d38730018f4cd5f?width=1200&format=jpeg
18,Iowa’s bird flu death toll tops 13 million - Raw Story,https://www.rawstory.com/media-library/us-pigs-out-on-bacon-ribs-as-president-donald-trumps-trade-wars-cut-chicken-demand.png?id=24718033&width=1200&coordinates=0%2C15%2C0%2C15&height=600
19,"Amid Covid pandemic, US grapples with Norovirus. Know cause, symptoms, treatment - Mint",https://images.livemint.com/img/2022/04/02/600x338/norovirus-CDC_1648868323506_1648868323871.jpg
