,title,urlToImage
0,New Starfield early images have allegedly leaked online | VGC - Video Games Chronicle,https://www.videogameschronicle.com/files/2021/06/Starfield_Trailer_Pilot-11911260c603375ee1a7.60592772-scaled.jpg
1,City Connection Announces Multiple 'Saturn Tribute X Taito' Releases For Nintendo Switch eShop - Nintendo Life,https://images.nintendolife.com/0c3d559947a10/1280x720.jpg
2,Maxsun Developing A Desktop Motherboard With A Soldered Alder Lake Mobility 14-Core CPU - Wccftech,https://cdn.wccftech.com/wp-content/uploads/2022/04/Intel-Alder-Lake-Chip-Hell.jpg
3,Snapchat now lets you share YouTube videos as a sticker in your snap - The Verge,https://cdn.vox-cdn.com/thumbor/SuzW3F-ru3MjaEibmW3U1I1NJYs=/0x38:1920x1043/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23363161/snapchat_youtube_links_sticker.jpg
4,Halo Infinite: 343 Industries Says 'We Understand the Community Is Simply Out Of Patience' - IGN,https://assets-prd.ignimgs.com/2022/04/02/halo-4-1627508088773-1627598680079-1627792407442-1639250458874-1642308542577-1648932796205.jpg?width=1280
5,"Intel's new GPUs shows promise, but Nvidia still has the advantage - Seeking Alpha",https://static.seekingalpha.com/cdn/s3/uploads/getty_images/1344067896/image_1344067896.jpg?io=getty-c-w750
6,Tiny Tina’s Wonderlands joins Elden Ring in the illusory wall tradition - Polygon,https://cdn.vox-cdn.com/thumbor/2StfYjcq__9W533i5APpkY5Dx3E=/0x39:1923x1046/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23361369/tinytina_wall.jpg
7,Everybody's Golf PS4 Servers Shutting Down In September - Kotaku,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/9ee08182b5f61d87e93eb15be0181d5f.jpg"
8,City Connection to re-release Akai Katana in 2022 - Gematsu,https://www.gematsu.com/wp-content/uploads/2022/04/Akai-Katana-City-Connectin_04-02-22.jpg
9,Nvidia GeForce RTX 3090 Ti Review - TechSpot,https://static.techspot.com/articles-info/2442/images/2022-03-30-image-18.jpg
10,"The weekend’s best deals: Xbox Series X/S in stock, Samsung microSD cards, and more - Ars Technica",https://cdn.arstechnica.net/wp-content/uploads/2022/04/dealmaster040222-760x380.jpg
11,DJI Mini 3 Pro leak shows obstacle avoidance sensors and a slightly bigger battery - The Verge,https://cdn.vox-cdn.com/thumbor/K6LxfB8ZMRGaAEKJvW6W5pt9YFY=/0x0:2040x1068/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/22296015/vpavic_201214_4405_0360.jpg
12,iPad Air 5 Features Pull Tabs for Easier Battery Replacements - MacRumors,https://images.macrumors.com/t/yhXMbXK2w1722GDBAk8gSMPmt54=/1600x/article-new/2022/04/ifixit-ipad-air-5-battery-pull-tabs.jpg
13,Epic brings building back to Fortnite’s casual queue - Engadget,https://s.yimg.com/os/creatr-uploaded-images/2022-04/8dceefe0-b2a5-11ec-bb6c-5303990aad18
14,Classic Doom With Ray Tracing Looks Amazing - Kotaku,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/5c1c68029de1c872ecefbd6c9683e311.jpg"
15,15 similar and dissimilar games to play after Elden Ring - Polygon,https://cdn.vox-cdn.com/thumbor/2J6ImeUe_KzoRDIXYpclgQJ_860=/0x215:3000x1786/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/23360371/jbareham_220401_ecl1085_elden_ring_0001.jpg
16,5 Android apps you shouldn't miss this week - Android Apps Weekly - Android Authority,https://www.androidauthority.com/wp-content/uploads/2022/03/AAW-Area-by-Autodesk-screenshot.jpg
17,Final Fantasy XIV will continue its story and become easier for solo players on April 12th - Rock Paper Shotgun,https://assets2.rockpapershotgun.com/final-fantasy-xiv-endwalker-b.jpg/BROK/thumbnail/1600x900/format/jpg/quality/80/final-fantasy-xiv-endwalker-b.jpg
18,How does Samsung’s Vision Booster feature work on the Galaxy S22 series? - XDA Developers,https://www.xda-developers.com/files/2022/02/Galaxy-S22-and-S22-ultra-together1.jpg
19,"‘Destiny 2’ Now Has A Wordle Clone, Rolldle, That Is Actually Very Fun - Forbes",https://imageio.forbes.com/specials-images/imageserve/6248583eb6ab798d5f503f2b/0x0.jpg?format=jpg&width=1200
