,title,urlToImage
0,"Sen. Roy Blunt says Ketanji Brown Jackson will be confirmed, but he won't support her - ABC News",https://s.abcnews.com/images/Politics/roy-blunt-gty-jef-220402_1648910012702_hpMain_2_16x9_992.jpg
1,"At DC roast, NH's GOP governor skewers Trump as 'crazy' - Yahoo News",https://s.yimg.com/ny/api/res/1.2/tVrpkaf9uXOSZIgHF3s4NQ--/YXBwaWQ9aGlnaGxhbmRlcjt3PTEyMDA7aD02NzU-/https://s.yimg.com/uu/api/res/1.2/bfQ_et55JfNZ1uVP5sNQpQ--~B/aD0xNzQ2O3c9MzEwNDthcHBpZD15dGFjaHlvbg--/https://media.zenfs.com/en/ap.org/1421080cf7653e50f1e4cfa6a14d675b
2,Zelenskyy accuses Russia of genocide for alleged atrocities in Ukraine - CBS News,https://cbsnews1.cbsistatic.com/hub/i/r/2022/04/03/bb26a6ea-2ab4-466f-b11d-2f96b76ccade/thumbnail/1200x630g2/193cfe64d3963c9e67410b2872e3da95/screen-shot-2022-04-03-at-8-08-38-am.png
3,An epic night in New Orleans: The end of Coach K's career doubles as the peak moment in the Duke-UNC rivalry - CBS Sports,https://sportshub.cbsistatic.com/i/r/2022/04/03/41b45902-2be4-4901-9d71-c2390eafbe1a/thumbnail/1200x675/e8e477b72c1e7a7805f5acc9d630793c/usatsi-18011287-kryzyzewski-roach-duke-2022-final-four-postgame-1400.gif
4,Tiger Woods says 'it will be a game-time decision' on whether he plays at next week's Masters - CNN,https://cdn.cnn.com/cnnnext/dam/assets/220119100932-01-tiger-woods-december-2021-super-tease.jpg
5,"Apple iOS 15.4.1 Update: Fixes for Battery-Drain Bug, Security Issues - CNET",https://www.cnet.com/a/img/resize/6317a1f3f357fa82880d4c4393690b4583393eed/2022/03/09/6f0b8199-6408-431e-ae2e-e050d6fc0659/apple-ios-15-7288.jpg?auto=webp&fit=crop&height=630&width=1200
6,President says first lady Jill Biden was Obama's VP in latest gaffe - New York Post ,https://nypost.com/wp-content/uploads/sites/2/2022/04/bidens-769.jpg?quality=75&strip=all&w=1024
7,"Frank Gore intends to retire with 49ers, join San Francisco front office - NFL.com",https://static.www.nfl.com/image/private/t_editorial_landscape_12_desktop/league/b1u29zz1chqdavq1ivdn
8,Bodies of 'executed people' strewn across street in Bucha as Ukraine accuses Russia of war crimes - CNN,https://cdn.cnn.com/cnnnext/dam/assets/220402222200-bucha-ukraine-040222-super-tease.jpg
9,Airlines cancel hundreds of weekend flights as thunderstorms sweep through Florida - CNBC,https://image.cnbcfm.com/api/v1/image/106958733-16340395402021-10-12t012252z_909114992_rc2z7q9ocjfu_rtrmadp_0_usa-airlines-southwest.jpeg?v=1634039587&w=1920&h=1080
10,Lightning strikes NASA's Artemis 1 moon megarocket launch pad during test - Space.com,https://cdn.mos.cms.futurecdn.net/hXrLdb6GAy79Q3kc84Zthn-1200-80.jpg
11,‘SNL’ Weekend Update Had a Lot to Say About the Will Smith Oscars Slap - Rolling Stone,https://www.rollingstone.com/wp-content/uploads/2022/04/SNLWUWILL.jpg
12,Kremlin warns West: rouble-for-gas scheme is the 'prototype' - Reuters,https://www.reuters.com/resizer/aPOnYdS9kw6-1ytkMfy3KzwDylQ=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/NKDYXJ6EFVM7ZIFBW5RX7LG5TQ.jpg
13,How to watch the 2022 Grammys - CNN,https://cdn.cnn.com/cnnnext/dam/assets/220330134943-billie-eilish-grammys-2020-file-super-tease.jpg
14,Imran Khan Live Updates: Pakistan Parliament News and the Latest - The New York Times,https://static01.nyt.com/images/2022/04/03/world/03pakistan-khan-header/03pakistan-khan-header-facebookJumbo.jpg
15,Man in Germany gets 90 COVID-19 shots to sell forged passes - The Associated Press,https://storage.googleapis.com/afs-prod/media/26a70514c0fe401c8532a5322b0e7b03/3000.jpeg
16,"Taliban bans drug cultivation, including lucrative opium - Reuters.com",https://www.reuters.com/resizer/Eu0YrCvS4cBNTkXYF_6-EnFz-yM=/1200x628/smart/filters:quality(80)/cloudfront-us-east-2.images.arcpublishing.com/reuters/GWRMOOKVJVMUTB2QWBA4W463JA.jpg
17,"Downtown Sacramento Shooting: 6 dead, at least 10 injured | Updates - ABC10.com KXTV",https://media.abc10.com/assets/KXTV/images/c8bfb4c7-5b93-497d-913e-91cc1f43787e/c8bfb4c7-5b93-497d-913e-91cc1f43787e_1140x641.jpg
18,Blasts heard in Russian city of Belgorod near border with Ukraine - Reuters.com,https://www.reuters.com/pf/resources/images/reuters/reuters-default.png?d=82
19,"PHOTOS: Russian missiles hit Odesa, Black Sea base for Ukraine's navy - Business Insider",https://i.insider.com/6249763382200b001943d69f?width=1200&format=jpeg
